headline,compound,positive,neutral,negative
AAPL reports strong quarterly earnings beating expectations,0.0772,0.292,0.442,0.265
Market analysts downgrade AAPL stock amid concerns,0.0,0.0,1.0,0.0
AAPL announces major partnership deal,0.0,0.0,1.0,0.0
Investors worried about AAPL future prospects,0.0,0.262,0.476,0.262
AAPL stock hits new 52-week high,0.0,0.0,1.0,0.0
Regulatory challenges facing AAPL,0.0772,0.302,0.698,0.0
AAPL CEO optimistic about growth trajectory,0.5994,0.551,0.449,0.0
Weak guidance from AAPL disappoints investors,-0.6705,0.0,0.421,0.579
AAPL expands into new markets,0.1027,0.259,0.741,0.0
Competition intensifies for AAPL,0.0,0.0,1.0,0.0
